"specie","metabolite usage","enzymes","ecosystem","pH","biotic relationship","cell arrangement","energy source","flagella","gram stain","growth in groups","halophilic","pathogenic","metabolism","mobility","motility","oxygen requirement","radioresistance","shape","sporulation","temperature range"
"Aromatoleum aromaticum","ketoglutaric acid",NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Candidatus Hamiltonella defensa",NA,NA,"hostassociated, insecta, host, hostassociated",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"insectsgeneral",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Eubacterium sp. 14-2",NA,NA,"hostassociated, largeintestine, digestivesystem, host, fecal",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,"sporulation",NA
"Thiocapsa marina",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Methylomicrobium album",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Streptomyces thermolilacinus","arabinose, inositol",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,"tailed","sporulation","mesophilic"
"Veillonella atypica",NA,NA,"hostassociated, human, digestivesystem, host",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Halomonas sp. BJGMM-B45","alanine","esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Clostridiales genomosp. BVAB3",NA,NA,"hostassociated, host, fecal, hostassociated",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Pseudonocardia dioxanivorans","arabinose",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation","mesophilic"
"Achromobacter piechaudii","malic acid, glutamate, ketoglutaric acid, alanine, propionate, aspartate, pyroglutamic acid, mucic acid",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Corynebacterium glucuronolyticum",NA,NA,"hostassociated, host",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Clostridium sp. ASF502",NA,NA,"hostassociated, largeintestine, digestivesystem, host, fecal",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Methylobacterium sp. GXF4","glutamate",NA,"plants",NA,NA,"pairs, singles","methylotroph",NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Clostridium sp. ASF356",NA,NA,"hostassociated, host",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Heliobacterium modesticaldum",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"thermophilic"
"Pannonibacter phragmitetus",NA,NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Oscillibacter valericigenes",NA,"alkaline phosphatase, esterase lipase  c8","hostassociated, host, fecal",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Arthrospira maxima",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Hoeflea phototrophica",NA,"alkaline phosphatase",NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Photobacterium sp. SKA34",NA,"alkaline phosphatase, esterase lipase  c8","freeliving",NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,NA
"Shewanella loihica","gelatin hydrolysis, hydrogen sulfide","alkaline phosphatase, esterase lipase  c8, esterase  c4, catalase, arginine dihydrolase, oxidase","environmental, aquatic, sediment, freeliving",NA,NA,"pairs, singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility","motility","facultative",NA,"bacilli",NA,"mesophilic"
"Blattabacterium sp. (Periplaneta americana)",NA,NA,"hostassociated, host, hostassociated, single",NA,NA,"singles",NA,NA,"negative",NA,NA,"insectsgeneral",NA,NA,NA,NA,NA,"bacilli",NA,NA
"Microbacterium hatanonis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patulibacter americanus",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nitrobacter sp. Nb-311A",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,"nitrifying",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Oceanicaulis sp. HTCC2633",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Oceanicola batsensis",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Roseobacter sp. MED193",NA,"alkaline phosphatase, esterase lipase  c8","marine, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Roseovarius nubinhibens",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Glaciecola psychrophila",NA,"alkaline phosphatase, esterase lipase  c8, catalase","marine, freeliving",NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Bacteroides xylanisolvens",NA,NA,"hostassociated, human, largeintestine, digestivesystem, host, fecal, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Rhodobacteraceae bacterium HTCC2083",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Roseovarius sp. 217",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Sphingomonas sp. SKA58",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Sulfitobacter sp. NAS-14.1",NA,"alkaline phosphatase, catalase","marine, surfacewater, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Pyrococcus sp. NA2",NA,NA,"aquatic, hydrothermalvents, marine, freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"sulfurrespiration",NA,NA,"strictanaero",NA,"coccus",NA,"hyperthermophilic, thermophilic"
"Limnohabitans sp. Rim28",NA,NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Thermococcus onnurineus",NA,NA,"environmental, hydrothermalvents, freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"coccus",NA,"hyperthermophilic, thermophilic"
"Acinetobacter venetianus","glutamate, ethanol","alkaline phosphatase, esterase lipase  c8, catalase",NA,NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Methylocystis sp. SC2",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Enterobacter lignolyticus","glutamate, mannitol, sorbitol, trehalose, gluconate, aspartate, glucose, mucic acid","alkaline phosphatase, esterase lipase  c8, galactosidase","hostassociated, host, fecal, hostassociated",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Sporichthya polymorpha","arabinose",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Carboxydothermus hydrogenoformans","arbutin, gelatin hydrolysis",NA,"freeliving",NA,NA,"pairs, singles",NA,NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"thermophilic"
"Labrenzia aggregata",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"gamma proteobacterium HTCC2207",NA,"esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Tolumonas auensis",NA,"alkaline phosphatase, esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Arthrospira sp. Maxima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Pseudoalteromonas tunicata",NA,"esterase lipase  c8, catalase, oxidase",NA,NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Psychromonas sp. CNPT3",NA,"esterase lipase  c8",NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Methylocella silvestris",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Bifidobacterium choerinum",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Haliangium ochraceum",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Streptomyces sp. Tu6071","arabinose",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,"tailed","sporulation","mesophilic"
"Vibrio sp. MED222","mannose","alkaline phosphatase, esterase lipase  c8, catalase, oxidase, trypsin","marine, freeliving",NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,NA
"Ignisphaera aggregans",NA,NA,"freeliving, single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hyperthermophilic, thermophilic"
"Megasphaera micronuciformis",NA,NA,"host",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Acidaminococcus intestini",NA,"esterase lipase  c8","hostassociated, digestivesystem, host, hostassociated",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Desulfovibrio piezophilus",NA,NA,"sediment, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"sulfatereducer",NA,NA,"strictanaero",NA,"bacilli",NA,NA
"Sphingobium sp. HDIP04",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,NA
"Sinorhizobium arboris","d xylopyranoside","glucosidase","plants, rhizoplane, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Nitratifractor salsuginis",NA,NA,"hydrothermalvents, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"thermophilic"
"Coprothermobacter proteolyticus",NA,NA,"freeliving",NA,NA,"pairs",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"thermophilic"
"Rickettsia africae",NA,NA,"hostassociated, blood, host, hostassociated",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Rickettsia helvetica",NA,NA,"hostassociated, blood, host, hostassociated",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Rickettsia japonica",NA,NA,"hostassociated, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Rickettsia massiliae",NA,NA,"hostassociated, blood, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Rickettsia parkeri",NA,NA,"hostassociated, blood, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Wolbachia endosymbiont of Brugia malayi",NA,NA,"hostassociated, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Rickettsia sibirica",NA,NA,"hostassociated, blood, host, hostassociated",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Rickettsia slovaca",NA,NA,"hostassociated, blood, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Agrococcus pavilionensis",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ehrlichia muris",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nitrococcus mobilis","ketoglutaric acid",NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Cyanothece sp. ATCC 51142",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,"coccus",NA,"mesophilic"
"Pseudomonas monteilii","glutamate, malate, ketoglutaric acid, alanine, acetate, aspartate","lipase  c14",NA,NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,"mobility",NA,NA,NA,"bacilli",NA,"mesophilic"
"Salinispora pacifica","arabinose",NA,"freeliving",NA,NA,"clusters","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation","mesophilic"
"Synechococcus sp. CC9311",NA,NA,"aquatic, marine, marine, aquatic, freeliving, single",NA,NA,"singles","photoautotroph, photosynthetic",NA,"negative",NA,NA,NA,NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Nitrospina gracilis",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Streptomyces albulus","arabinose",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,"tailed","sporulation","mesophilic"
"Gordonia amicalis","quinic acid",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Caldicellulosiruptor saccharolyticus",NA,NA,"environmental, hotspring, freeliving",NA,NA,"pairs, singles",NA,NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,"bacilli",NA,"thermophilic"
"Acidovorax avenae","glutamate, glycerol, ketoglutaric acid, alanine","esterase lipase  c8","hostassociated, host",NA,NA,"singles",NA,"flagellarpresence","negative",NA,NA,"pathogenic in plants",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Delftia acidovorans","ketoglutaric acid, alanine, aspartate",NA,"sludge, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Acidovorax citrulli","ketoglutaric acid, alanine","esterase lipase  c8","hostassociated, phylloplane, host",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in plants",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Eubacterium plexicaudatum",NA,NA,"hostassociated, largeintestine, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,NA,NA,NA
"Sphaerochaeta coccoides",NA,NA,"host",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Bordetella holmesii","glutamate, ketoglutaric acid",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Sphingomonas phyllosphaerae",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Helicobacter heilmannii",NA,NA,"hostassociated",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"spirilla",NA,NA
"Enterococcus dispar","arbutin, fructose, lactose, dextrin, salicin, glucose","esterase lipase  c8","hostassociated, host",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Helicobacter pullorum",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,"motility",NA,NA,"spirilla",NA,"mesophilic"
"Micromonospora lupini","arabinose",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation","mesophilic"
"Ferrimonas balearica",NA,"alkaline phosphatase, esterase lipase  c8, oxidase","freeliving",NA,NA,"pairs, singles","heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Mariprofundus ferrooxydans",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Hylemonella gracilis",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Geoglobus ahangari",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Desulfotalea psychrophila",NA,"alkaline phosphatase","aquatic, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Methylotenera mobilis",NA,"alkaline phosphatase, esterase lipase  c8","sediment, freeliving",NA,NA,"singles","methylotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Cucumibacter marinus",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Klebsiella sp. KTE92","glutamate, glycerol, mannitol, trehalose, arabinose, aspartate, glucose",NA,"hostassociated, host",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,"plantsexceptlegumes, pathogenic in mammals",NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Acetivibrio cellulolyticus",NA,NA,NA,NA,NA,"pairs","chemoorganotroph",NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,"bacilli","sporulation",NA
"Bilophila wadsworthia",NA,NA,"hostassociated, host",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"sulfatereducer",NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Candidatus Tremblaya phenacola",NA,NA,NA,NA,"symbiotic",NA,NA,NA,NA,NA,NA,"insectsgeneral",NA,NA,NA,NA,NA,NA,NA,NA
"Escherichia sp. KTE96","mannitol, trehalose","esterase lipase  c8","hostassociated, digestivesystem, fecal, hostassociated",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,"motility",NA,NA,"bacilli",NA,NA
"Holophaga foetida",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enterococcus phoeniculicola","arbutin, dextrin, gentiobiose, salicin, glucose, arabitol","esterase lipase  c8",NA,NA,NA,"chains","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Mitsuokella multacida",NA,NA,"hostassociated, fecal",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Thioalkalivibrio sp. ALMg3",NA,"esterase lipase  c8","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prevotella dentalis",NA,NA,"hostassociated, oral, digestivesystem, host, fecal, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Bradyrhizobium sp. STM 3843","arabinose, d xylopyranoside",NA,"plants, host, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation","mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Thioalkalivibrio sp. ALgr5",NA,"esterase lipase  c8","sediment, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Sphingomonas sp. Mn802worker",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Halyomorpha halys symbiont",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conexibacter woesei",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Agromyces subbeticus",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Thioalkalivibrio sp. ALMg13-2",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Aequorivita sublithincola","dextrin, salicin",NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thioalkalivibrio sp. ALE12",NA,"esterase lipase  c8","sediment, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Thioalkalivibrio sp. ALE17",NA,"esterase lipase  c8","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Thioalkalivibrio sp. ALE16",NA,"esterase lipase  c8","sediment, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Thioalkalivibrio sp. ALE18",NA,"esterase lipase  c8","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhodocyclaceae bacterium RZ94","ketoglutaric acid",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thioalkalivibrio sp. ALJT",NA,"esterase lipase  c8","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Methylobacterium mesophilicum",NA,NA,"plants",NA,NA,"pairs, singles","methylotroph",NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,"strictaero",NA,"bacilli",NA,NA
"Rhodobacter sp. SW2",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thioalkalivibrio sp. ALD1",NA,NA,"sediment, freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Chlamydia gallinacea",NA,NA,"hostassociated, host, hostassociated, single",NA,"symbiotic",NA,NA,NA,"negative",NA,NA,"respiratory lungdisease, respiratory, respiratory throatnoseeyes, pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,NA
"Erythrobacter litoralis",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Bacteroides pyogenes",NA,NA,"hostassociated, digestivesystem, host, fecal, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Thioalkalivibrio sp. AL21",NA,NA,"freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thioalkalivibrio sp. AKL7",NA,"esterase lipase  c8","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Bacteroides plebeius","melibiose",NA,"hostassociated, largeintestine, digestivesystem, host, fecal, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Bacteroides coprocola",NA,NA,"hostassociated, largeintestine, digestivesystem, host, fecal, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
